类型代码,类型名称,书信数,特征,特征说明,均值,均值95%CI下限,均值95%CI上限,中位数,Q1,Q3,标准化均值,标准化95%CI下限,标准化95%CI上限
A,先叙后请型,65,complexity,路径复杂度（log(去重行动数+1)）,1.823668442958167,1.7401937598202852,1.904313088909154,1.9459101490553132,1.6094379124341003,2.0794415416798357,-0.45987734641078465,-0.6490292944578357,-0.2771382055386057
A,先叙后请型,65,requestShare,请求行动占比,0.15363732421424725,0.13370660055756212,0.17514430868277017,0.13333333333333333,0.09090909090909091,0.2,-0.04380154038094691,-0.24748818058144728,0.17599406176059473
A,先叙后请型,65,serialRequest,连续请求程度,0,0,0,0,0,0,-0.39411184159259327,-0.39411184159259327,-0.39411184159259327
A,先叙后请型,65,firstRequestPosition,首次请求位置,0.7250332462382951,0.6670506408366313,0.780335652367267,0.75,0.625,0.9,0.4890569907544327,0.29010592808215907,0.6788117006622579
A,先叙后请型,65,lastRequestPosition,末次请求位置,0.844404940670718,0.8145557529680234,0.8747546225803244,0.8571428571428571,0.75,0.9411764705882353,0.359124490715939,0.2398470762954177,0.48040188099937126
A,先叙后请型,65,postRequestContinuation,请求后续写比例,0.15559505932928178,0.1252453774196748,0.18544424703197626,0.14285714285714285,0.058823529411764705,0.25,-0.3591244907159399,-0.48040188099937436,-0.23984707629541915
A,先叙后请型,65,persuasionShare,说服行动占比,0.12953873050026896,0.09976173559346635,0.1631769347105885,0.1111111111111111,0,0.2,-0.39995342656214905,-0.5657597767525454,-0.21264682008527677
A,先叙后请型,65,informationShare,告知行动占比,0.6794977671900747,0.642420178112486,0.7126380222341756,0.7142857142857143,0.6190476190476191,0.75,0.5140163412106278,0.3122036483742345,0.6943981912208662
A,先叙后请型,65,displayShare,展示行动占比,0.03561677638600716,0.019314158064158066,0.054743177762408515,0,0,0.05,-0.23325708147635166,-0.44741258553261043,0.017992383283304818
B,论议收束型,52,complexity,路径复杂度（log(去重行动数+1)）,2.370339578980667,2.255782860671886,2.4745151902427986,2.4849066497880004,2.1677788184221236,2.639057329615259,0.778868419763011,0.5192852070398031,1.014928253337655
B,论议收束型,52,requestShare,请求行动占比,0.14430896255386869,0.12553872220453238,0.16490524432713824,0.14285714285714285,0.09090909090909091,0.16666666666666666,-0.13913488993247486,-0.3309617025645285,0.07135357537786202
B,论议收束型,52,serialRequest,连续请求程度,0.046932234432234425,0.014423076923076924,0.0879120879120879,0,0,0,-0.23812740517763248,-0.3461751611333614,-0.10192636069822765
B,论议收束型,52,firstRequestPosition,首次请求位置,0.6264782564419124,0.5414743521141274,0.7079698094312994,0.6666666666666666,0.45,0.8867647058823529,0.1508931601397634,-0.1407739179460348,0.4305085888315419
B,论议收束型,52,lastRequestPosition,末次请求位置,0.9171544352306525,0.8869206106279987,0.9445827947741616,0.9473684210526315,0.8642857142857143,1,0.6498316180903105,0.5290171938397453,0.7594353982913661
B,论议收束型,52,postRequestContinuation,请求后续写比例,0.0828455647693471,0.05541720522583834,0.11307938937200111,0.05263157894736842,0,0.13571428571428573,-0.6498316180903121,-0.7594353982913663,-0.5290171938397464
B,论议收束型,52,persuasionShare,说服行动占比,0.30685963308018316,0.2647977602845205,0.3519292614362299,0.3003220611916264,0.20789473684210524,0.375,0.5874172520863438,0.3532053837547851,0.8383771157509783
B,论议收束型,52,informationShare,告知行动占比,0.4731073796311533,0.4352104207173971,0.5087522096241697,0.5,0.4125,0.5666118421052632,-0.6093630619552896,-0.8156355710089628,-0.4153488526836792
B,论议收束型,52,displayShare,展示行动占比,0.07304281171704317,0.05429812994277813,0.09339588717714946,0.0625,0,0.10277777777777779,0.2583812126253704,0.012146117471245098,0.5257445924336608
C,先请后叙型,42,complexity,路径复杂度（log(去重行动数+1)）,1.9800956276668493,1.8638760359472553,2.099554246239326,1.791759469228055,1.791759469228055,2.1972245773362196,-0.10541650148263557,-0.36876775180942967,0.16527431835156833
C,先请后叙型,42,requestShare,请求行动占比,0.12042052916794115,0.10210741544754227,0.14032604529078394,0.10555555555555556,0.07142857142857142,0.15384615384615385,-0.3832682600924178,-0.5704233614109078,-0.1798392341142874
C,先请后叙型,42,serialRequest,连续请求程度,0.047619047619047616,0,0.11904761904761904,0,0,0,-0.2358447061081452,-0.39411184159259327,0.0015559971185268346
C,先请后叙型,42,firstRequestPosition,首次请求位置,0.3188733300133123,0.27080560748918237,0.3671498523549607,0.31666666666666665,0.2,0.44047619047619047,-0.9045669484955151,-1.0694978689011239,-0.7389195900255365
