收信人,类型代码,类型名称,该类型封数,该人物含请求书信数,比例,Wilson95%CI下限,Wilson95%CI上限
松崎鹤雄,A,先叙后请型,18,53,0.33962264150943394,0.22687039101324172,0.4740521336245169
松崎鹤雄,B,论议收束型,15,53,0.2830188679245283,0.1796629044633857,0.4157028641641701
松崎鹤雄,C,先请后叙型,17,53,0.32075471698113206,0.2109221407913507,0.4548147985096737
松崎鹤雄,D,连环请托型,3,53,0.05660377358490566,0.019436661484935766,0.15370208310180888
缪荃孙,A,先叙后请型,16,35,0.45714285714285713,0.3046601928840721,0.6181027493151624
缪荃孙,B,论议收束型,11,35,0.3142857142857143,0.18550844674265818,0.4797976361206918
缪荃孙,C,先请后叙型,3,35,0.08571428571428572,0.02958236826696982,0.22379273965896496
缪荃孙,D,连环请托型,5,35,0.14285714285714285,0.06260231079433716,0.29375554086595146
孙毓修,A,先叙后请型,4,14,0.2857142857142857,0.11721378644576919,0.5464908432989318
孙毓修,B,论议收束型,3,14,0.21428571428571427,0.07571386712693182,0.47589230586600295
孙毓修,C,先请后叙型,6,14,0.42857142857142855,0.21380798904474121,0.6740935542034926
孙毓修,D,连环请托型,1,14,0.07142857142857142,0.012722215247890939,0.31468704424151117
夏敬观,A,先叙后请型,3,11,0.2727272727272727,0.09746059290024889,0.5656453011761291
夏敬观,B,论议收束型,6,11,0.5454545454545454,0.280091537409322,0.7872872837754024
夏敬观,C,先请后叙型,2,11,0.18181818181818182,0.05136768974608513,0.4769805619608442
夏敬观,D,连环请托型,0,11,0,0,0.2588329669680317
易培基,A,先叙后请型,2,8,0.25,0.071479212752109,0.5907245696898311
易培基,B,论议收束型,1,8,0.125,0.02241749145005667,0.4708881822128535
易培基,C,先请后叙型,1,8,0.125,0.02241749145005667,0.4708881822128535
易培基,D,连环请托型,4,8,0.5,0.21521606221387757,0.7847839377861224
