letterId,number,year,recipient,requestCount,typeCode,typeName,collapsedPath,complexity,requestShare,serialRequest,firstRequestPosition,lastRequestPosition,postRequestContinuation,persuasionShare,informationShare,displayShare
001_1923_易培基,001,1923,易培基,2,D,连环请托型,DSP→INF→REQ,1.3862943611198906,0.4,1,0.75,1,0,0,0.4,0.2
002_1923_易培基,002,1923,易培基,3,D,连环请托型,INF→REQ→INF→REQ→DSP,1.791759469228055,0.42857142857142855,0.5,0.3333333333333333,0.8333333333333334,0.16666666666666666,0,0.42857142857142855,0.14285714285714285
005_1925_易培基,005,1925,易培基,2,D,连环请托型,INF→PRS→INF→PRS→INF→PRS→DSP→REQ→INF,2.302585092994046,0.125,1,0.6666666666666666,0.7333333333333333,0.26666666666666666,0.25,0.5625,0.0625
006_1925_易培基,006,1925,易培基,2,D,连环请托型,INF→REQ→INF,1.3862943611198906,0.4,1,0.5,0.75,0.25,0,0.6,0
009_1925_易培基,009,1925,易培基,2,B,论议收束型,INF→DSP→REQ→DSP→PRS→INF→REQ,2.0794415416798357,0.2,0,0.2222222222222222,1,0,0.2,0.4,0.2
010_1925_易培基,010,1925,易培基,1,C,先请后叙型,INF→REQ→INF→DSP→INF,1.791759469228055,0.14285714285714285,0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0,0.7142857142857143,0.14285714285714285
013_1925_易培基,013,1925,易培基,1,A,先叙后请型,INF→DSP→REQ→INF→PRS,1.791759469228055,0.1,0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.2,0.6,0.1
016_1926_易培基,016,1926,易培基,1,A,先叙后请型,INF→DSP→INF→DSP→REQ→PRS,1.9459101490553132,0.08333333333333333,0,0.9090909090909091,0.9090909090909091,0.09090909090909091,0.08333333333333333,0.6666666666666666,0.16666666666666666
017_0_瞿良士,017,,瞿良士,2,B,论议收束型,INF→DSP→INF→REQ→PRS→INF→PRS→INF→REQ→DSP→INF→PRS,2.5649493574615367,0.09090909090909091,0,0.47619047619047616,0.8095238095238095,0.19047619047619047,0.18181818181818182,0.6363636363636364,0.09090909090909091
019_0_白岩龙平,019,,白岩龙平,3,B,论议收束型,INF→PRS→INF→DSP→PRS→INF→DSP→INF→REQ→INF→REQ→PRS→REQ,2.639057329615259,0.14285714285714285,0,0.8,1,0,0.2857142857142857,0.47619047619047616,0.09523809523809523
022_0_后藤朝太郎,022,,后藤朝太郎,1,B,论议收束型,INF→PRS→REQ,1.3862943611198906,0.1111111111111111,0,1,1,0,0.6666666666666666,0.2222222222222222,0
025_0_舒贻上,025,,舒贻上,1,C,先请后叙型,INF→PRS→REQ→PRS→DSP,1.791759469228055,0.125,0,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.625,0.125,0.125
026_0_舒贻上,026,,舒贻上,1,B,论议收束型,PRS→REQ,1.0986122886681096,0.07692307692307693,0,1,1,0,0.9230769230769231,0,0
029_0_皮锡瑞,029,,皮锡瑞,2,C,先请后叙型,PRS→REQ→PRS→REQ→PRS,1.791759469228055,0.25,0,0.14285714285714285,0.42857142857142855,0.5714285714285714,0.75,0,0
031_0_段伯猷,031,,段伯猷,1,C,先请后叙型,INF→REQ→PRS→INF→PRS→DSP→INF→PRS→DSP→PRS→INF→PRS,2.5649493574615367,0.037037037037037035,0,0.038461538461538464,0.038461538461538464,0.9615384615384616,0.6666666666666666,0.2222222222222222,0.07407407407407407
032_0_罗大令,032,,罗敬则,1,B,论议收束型,INF→PRS→DSP→INF→PRS→INF→PRS→INF→REQ,2.302585092994046,0.058823529411764705,0,1,1,0,0.5294117647058824,0.35294117647058826,0.058823529411764705
034_1911_松崎鹤雄,034,1911,松崎鹤雄,2,C,先请后叙型,INF→REQ→INF→REQ→PRS→INF,1.9459101490553132,0.2222222222222222,0,0.25,0.625,0.375,0.1111111111111111,0.6666666666666666,0
035_1911_松崎鹤雄,035,1911,松崎鹤雄,1,C,先请后叙型,PRS→REQ→PRS→INF,1.6094379124341003,0.2,0,0.25,0.25,0.75,0.4,0.4,0
037_1911_松崎鹤雄,037,1911,松崎鹤雄,1,B,论议收束型,PRS→INF→PRS→INF→DSP→INF→PRS→DSP→INF→PRS→REQ→INF→PRS,2.639057329615259,0.05555555555555555,0,0.8823529411764706,0.8823529411764706,0.11764705882352941,0.3333333333333333,0.5,0.1111111111111111
039_1912_松崎鹤雄,039,1912,松崎鹤雄,2,B,论议收束型,INF→PRS→INF→REQ→PRS→DSP→PRS→REQ→PRS,2.302585092994046,0.13333333333333333,0,0.5,0.8571428571428571,0.14285714285714285,0.4,0.4,0.06666666666666667
040_0_松崎鹤雄,040,,松崎鹤雄,2,B,论议收束型,INF→PRS→INF→DSP→INF→PRS→REQ→PRS→INF→REQ→PRS→INF,2.5649493574615367,0.125,0,0.6666666666666666,0.8666666666666667,0.13333333333333333,0.375,0.4375,0.0625
042_1912_松崎鹤雄,042,1912,松崎鹤雄,1,C,先请后叙型,INF→DSP→INF→PRS→REQ→INF→DSP→PRS→INF→PRS→INF→PRS→INF,2.639057329615259,0.045454545454545456,0,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.3181818181818182,0.5454545454545454,0.09090909090909091
044_1912_松崎鹤雄,044,1912,松崎鹤雄,1,B,论议收束型,INF→PRS→INF→PRS→INF→PRS→INF→NEG→INF→REQ,2.3978952727983707,0.07692307692307693,0,1,1,0,0.3076923076923077,0.5384615384615384,0
045_1912_松崎鹤雄,045,1912,松崎鹤雄,2,C,先请后叙型,INF→REQ→INF→PRS→INF→REQ→PRS→INF,2.1972245773362196,0.15384615384615385,0,0.08333333333333333,0.6666666666666666,0.3333333333333333,0.3076923076923077,0.5384615384615384,0
046_1913_松崎鹤雄,046,1913,松崎鹤雄,1,A,先叙后请型,INF→PRS→INF→REQ→PRS,1.791759469228055,0.09090909090909091,0,0.9,0.9,0.1,0.18181818181818182,0.7272727272727273,0
047_1913_松崎鹤雄,047,1913,松崎鹤雄,1,A,先叙后请型,INF→PRS→DSP→INF→REQ→INF,1.9459101490553132,0.09090909090909091,0,0.9,0.9,0.1,0.09090909090909091,0.6363636363636364,0.18181818181818182
049_1913_松崎鹤雄,049,1913,松崎鹤雄,1,C,先请后叙型,INF→REQ→INF→PRS→INF,1.791759469228055,0.09090909090909091,0,0.3,0.3,0.7,0.09090909090909091,0.8181818181818182,0
050_1913_松崎鹤雄,050,1913,松崎鹤雄,1,B,论议收束型,PRS→DSP→PRS→REQ→INF,1.791759469228055,0.16666666666666666,0,0.6,0.6,0.4,0.3333333333333333,0.3333333333333333,0.16666666666666666
052_1913_松崎鹤雄,052,1913,松崎鹤雄,1,A,先叙后请型,INF→PRS→INF→PRS→INF→REQ→INF,2.0794415416798357,0.07142857142857142,0,0.8461538461538461,0.8461538461538461,0.15384615384615385,0.21428571428571427,0.7142857142857143,0
054_1914_松崎鹤雄,054,1914,松崎鹤雄,1,B,论议收束型,INF→PRS→DSP→PRS→INF→REQ→INF,2.0794415416798357,0.14285714285714285,0,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.2857142857142857,0.42857142857142855,0.14285714285714285
055_0_松崎鹤雄,055,,松崎鹤雄,1,A,先叙后请型,INF→REQ→INF,1.3862943611198906,0.25,0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0,0.75,0
056_0_松崎鹤雄,056,,松崎鹤雄,1,C,先请后叙型,INF→REQ→INF,1.3862943611198906,0.2,0,0.25,0.25,0.75,0,0.8,0
060_0_松崎鹤雄,060,,松崎鹤雄,1,A,先叙后请型,INF→PRS→INF→REQ→INF,1.791759469228055,0.14285714285714285,0,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.14285714285714285,0.7142857142857143,0
