收信人,含请求书信数,A 先叙后请,B 论议收束,C 先请后叙,D 连环请托
松崎鹤雄,53,18,15,17,3
缪荃孙,35,16,11,3,5
孙毓修,14,4,3,6,1
夏敬观,11,3,6,2,0
易培基,8,2,1,1,4
吴庆坻,5,0,4,1,0
叶昌炽,4,2,1,0,1
杨树达,4,2,0,1,1
冯锡仁,3,1,0,2,0
刘承干,3,1,0,1,1
瞿启甲,3,1,1,1,0
石醉六,3,1,0,2,0
水野梅晓,2,1,1,0,0
舒贻上,2,0,1,1,0
赵恒惕,2,2,0,0,0
钱康荣,2,0,0,1,1
严家炽,1,0,1,0,0
俞廉三,1,0,0,0,1
俞恪士,1,1,0,0,0
刘仲鲁,1,0,0,0,1
刘先端、黄郁文,1,0,1,0,0
劭章,1,1,0,0,0
北京政事堂、财政部、参政院、肃政厅,1,1,0,0,0
北京筹安会杨皙子、孙少侯,1,1,0,0,0
叶恭绰,1,0,0,1,0
后藤朝太郎,1,0,1,0,0
商衍鎏,1,1,0,0,0
大总统、国务院、内务部、参众两院、江苏同乡会,1,1,0,0,0
曹献廷,1,1,0,0,0
段伯猷,1,0,0,1,0
熊希龄,1,0,1,0,0
白岩龙平,1,0,1,0,0
皮锡瑞,1,0,0,1,0
皮鹿门,1,0,1,0,0
省议会,1,1,0,0,0
瞿良士,1,0,1,0,0
罗敬则,1,0,1,0,0
陈夔,1,1,0,0,0
陶翁,1,1,0,0,0
章太炎,1,1,0,0,0
