书信ID,收信人,年份,路径类型,事务签名,时期
001_1923_易培基,易培基,1923,连环请托型,书籍,1919以后
002_1923_易培基,易培基,1923,连环请托型,社交,1919以后
005_1925_易培基,易培基,1925,连环请托型,社交,1919以后
006_1925_易培基,易培基,1925,连环请托型,学术＋书籍,1919以后
009_1925_易培基,易培基,1925,论议收束型,社交,1919以后
010_1925_易培基,易培基,1925,先请后叙型,书籍,1919以后
013_1925_易培基,易培基,1925,先叙后请型,书籍,1919以后
016_1926_易培基,易培基,1926,先叙后请型,社交,1919以后
017_0_瞿良士,瞿良士,,论议收束型,书籍,年代不详
019_0_白岩龙平,白岩龙平,,论议收束型,书籍＋社交,年代不详
022_0_后藤朝太郎,后藤朝太郎,,论议收束型,学术＋书籍,年代不详
025_0_舒贻上,舒贻上,,先请后叙型,学术＋书籍,年代不详
026_0_舒贻上,舒贻上,,论议收束型,学术,年代不详
029_0_皮锡瑞,皮锡瑞,,先请后叙型,学术＋社交,年代不详
031_0_段伯猷,段伯猷,,先请后叙型,政治,年代不详
032_0_罗大令,罗敬则,,论议收束型,社交,年代不详
034_1911_松崎鹤雄,松崎鹤雄,1911,先请后叙型,政治＋社交,1911以前
035_1911_松崎鹤雄,松崎鹤雄,1911,先请后叙型,书籍,1911以前
037_1911_松崎鹤雄,松崎鹤雄,1911,论议收束型,社交,1911以前
039_1912_松崎鹤雄,松崎鹤雄,1912,论议收束型,书籍＋政治＋社交,1912—1918
040_0_松崎鹤雄,松崎鹤雄,,论议收束型,书籍＋政治＋社交,年代不详
042_1912_松崎鹤雄,松崎鹤雄,1912,先请后叙型,社交,1912—1918
044_1912_松崎鹤雄,松崎鹤雄,1912,论议收束型,社交,1912—1918
045_1912_松崎鹤雄,松崎鹤雄,1912,先请后叙型,政治＋社交,1912—1918
046_1913_松崎鹤雄,松崎鹤雄,1913,先叙后请型,书籍＋家族,1912—1918
047_1913_松崎鹤雄,松崎鹤雄,1913,先叙后请型,书籍＋家族,1912—1918
049_1913_松崎鹤雄,松崎鹤雄,1913,先请后叙型,学术,1912—1918
050_1913_松崎鹤雄,松崎鹤雄,1913,论议收束型,学术,1912—1918
052_1913_松崎鹤雄,松崎鹤雄,1913,先叙后请型,学术＋书籍,1912—1918
054_1914_松崎鹤雄,松崎鹤雄,1914,论议收束型,社交,1912—1918
055_0_松崎鹤雄,松崎鹤雄,,先叙后请型,社交,年代不详
056_0_松崎鹤雄,松崎鹤雄,,先请后叙型,社交,年代不详
060_0_松崎鹤雄,松崎鹤雄,,先叙后请型,书籍,年代不详
065_1914_松崎鹤雄,松崎鹤雄,1914,先请后叙型,书籍＋社交,1912—1918
067_0_松崎鹤雄,松崎鹤雄,,先叙后请型,学术＋社交,年代不详
068_0_松崎鹤雄,松崎鹤雄,,先叙后请型,社交,年代不详
070_0_松崎鹤雄,松崎鹤雄,,连环请托型,社交,年代不详
073_1916_松崎鹤雄,松崎鹤雄,1916,论议收束型,社交,1912—1918
075_1916_松崎鹤雄,松崎鹤雄,1916,论议收束型,学术＋书籍＋政治＋社交,1912—1918
076_1916_松崎鹤雄,松崎鹤雄,1916,先叙后请型,政治＋社交,1912—1918
077_1916_松崎鹤雄,松崎鹤雄,1916,论议收束型,书籍＋社交,1912—1918
078_1916_松崎鹤雄,松崎鹤雄,1916,先请后叙型,政治＋社交,1912—1918
079_1916_松崎鹤雄,松崎鹤雄,1916,先叙后请型,书籍＋政治＋社交,1912—1918
081_1916_松崎鹤雄,松崎鹤雄,1916,论议收束型,社交,1912—1918
088_1917_松崎鹤雄,松崎鹤雄,1917,先请后叙型,书籍,1912—1918
091_1917_松崎鹤雄,松崎鹤雄,1917,先叙后请型,学术＋政治＋社交,1912—1918
092_1917_松崎鹤雄,松崎鹤雄,1917,先请后叙型,社交,1912—1918
094_1917_松崎鹤雄,松崎鹤雄,1917,先请后叙型,政治,1912—1918
095_1917_松崎鹤雄,松崎鹤雄,1917,先叙后请型,政治,1912—1918
096_1917_松崎鹤雄,松崎鹤雄,1917,先叙后请型,书籍＋社交,1912—1918
097_1917_松崎鹤雄,松崎鹤雄,1917,先叙后请型,书籍＋社交,1912—1918
098_1917_松崎鹤雄,松崎鹤雄,1917,先请后叙型,学术＋家族＋社交,1912—1918
099_1917_松崎鹤雄,松崎鹤雄,1917,论议收束型,书籍＋政治＋社交,1912—1918
100_1917_松崎鹤雄,松崎鹤雄,1917,先叙后请型,学术＋政治,1912—1918
101_1917_松崎鹤雄,松崎鹤雄,1917,连环请托型,书籍＋家族＋政治＋社交,1912—1918
103_1918_松崎鹤雄,松崎鹤雄,1918,先请后叙型,政治,1912—1918
105_1918_松崎鹤雄,松崎鹤雄,1918,论议收束型,书籍＋家族＋社交,1912—1918
106_0_松崎鹤雄,松崎鹤雄,,论议收束型,家族＋社交,年代不详
107_1918_松崎鹤雄,松崎鹤雄,1918,先叙后请型,学术,1912—1918
108_1918_松崎鹤雄,松崎鹤雄,1918,先叙后请型,学术,1912—1918
109_1918_松崎鹤雄,松崎鹤雄,1918,论议收束型,学术＋书籍＋家族＋社交,1912—1918
113_1919_松崎鹤雄,松崎鹤雄,1919,先请后叙型,书籍,1919以后
120_1920_松崎鹤雄,松崎鹤雄,1920,连环请托型,书籍＋社交,1919以后
121_1920_松崎鹤雄,松崎鹤雄,1920,先叙后请型,书籍＋社交,1919以后
122_1920_松崎鹤雄,松崎鹤雄,1920,先请后叙型,学术＋政治,1919以后
124_1920_松崎鹤雄,松崎鹤雄,1920,先请后叙型,书籍＋社交,1919以后
126_1920_松崎鹤雄,松崎鹤雄,1920,先叙后请型,书籍＋社交,1919以后
127_1920_松崎鹤雄,松崎鹤雄,1920,论议收束型,书籍＋社交,1919以后
128_1920_松崎鹤雄,松崎鹤雄,1920,先请后叙型,学术＋书籍,1919以后
130_0_石醉六,石醉六,,先请后叙型,学术＋书籍,年代不详
131_0_刘先端、黄郁文,刘先端、黄郁文,,论议收束型,学术,年代不详
132_0_皮锡瑞,皮鹿门,,论议收束型,学术＋政治,年代不详
135_0_俞恪士,俞恪士,,先叙后请型,学术＋政治,年代不详
136_1906_缪荃孙,缪荃孙,1906,论议收束型,书籍＋社交,1911以前
137_1907_缪荃孙,缪荃孙,1907,先叙后请型,书籍＋社交,1911以前
138_1907_缪荃孙,缪荃孙,1907,先叙后请型,书籍＋社交,1911以前
139_1907_缪荃孙,缪荃孙,1907,连环请托型,书籍＋社交,1911以前
140_1907_缪荃孙,缪荃孙,1907,连环请托型,书籍＋社交,1911以前
141_1908_缪荃孙,缪荃孙,1908,论议收束型,学术＋书籍＋社交,1911以前
143_1908_缪荃孙,缪荃孙,1908,先叙后请型,书籍＋社交,1911以前
144_1908_缪荃孙,缪荃孙,1908,先叙后请型,政治＋社交,1911以前
145_1909_缪荃孙,缪荃孙,1909,论议收束型,书籍＋社交,1911以前
146_1909_缪荃孙,缪荃孙,1909,先请后叙型,书籍＋社交,1911以前
147_1909_缪荃孙,缪荃孙,1909,先叙后请型,书籍＋社交,1911以前
148_0_缪荃孙,缪荃孙,,论议收束型,书籍＋政治＋社交,年代不详
149_1910_缪荃孙,缪荃孙,1910,论议收束型,书籍＋社交,1911以前
150_1910_缪荃孙,缪荃孙,1910,先叙后请型,书籍＋社交,1911以前
151_0_缪荃孙,缪荃孙,,连环请托型,书籍＋社交,年代不详
152_1911_缪荃孙,缪荃孙,1911,先叙后请型,书籍＋社交,1911以前
153_1911_缪荃孙,缪荃孙,1911,先叙后请型,书籍＋社交,1911以前
154_1911_缪荃孙,缪荃孙,1911,论议收束型,书籍＋家族,1911以前
156_0_缪荃孙,缪荃孙,,论议收束型,书籍＋家族,年代不详
157_0_缪荃孙,缪荃孙,,先叙后请型,书籍＋社交,年代不详
158_0_缪荃孙,缪荃孙,,先叙后请型,书籍,年代不详
159_0_缪荃孙,缪荃孙,,论议收束型,书籍＋社交,年代不详
160_0_缪荃孙,缪荃孙,,连环请托型,书籍＋家族＋社交,年代不详
161_0_缪荃孙,缪荃孙,,先叙后请型,书籍＋社交,年代不详
