收信人,类型,样本数,观察封数,事务校正期望封数,观察比例,事务校正期望比例,差值_百分点,MH校正优势比,双侧p,FDR_q,控制时期后双侧p,控制时期后FDR_q
松崎鹤雄,先叙后请型,53,18,16.66036238394729,0.33962264150943394,0.3143464600744772,2.5276181434956744,1.2129201163619683,0.7047129528704713,0.8740228387189812,0.7920620793792063,1
松崎鹤雄,论议收束型,53,15,17.672626534890686,0.2830188679245283,0.33344578367718275,-5.0426915752654455,0.6365244379736318,0.33325666743332566,0.6967930320696794,0.35904640953590466,1
松崎鹤雄,先请后叙型,53,17,12.97906558849955,0.32075471698113206,0.24488802997168962,7.5866687009442435,2.0426101947628363,0.08650913490865092,0.42075579244207556,0.1825481745182548,1
松崎鹤雄,连环请托型,53,3,5.6879454926624735,0.05660377358490566,0.10731972627665044,-5.071595269174479,0.2938164848672994,0.13511864881351188,0.4503954960450396,1,1
缪荃孙,先叙后请型,35,16,15.199311171009285,0.45714285714285713,0.43426603345740816,2.2876823685448966,1.1576281779161361,0.8303216967830321,0.8740228387189812,0.5646443535564645,1
缪荃孙,论议收束型,35,11,10.439832285115305,0.3142857142857143,0.2982809224318658,1.6004791853848455,1.1302951564252426,0.8179718202817972,0.8740228387189812,1,1
缪荃孙,先请后叙型,35,3,6.307502246181492,0.08571428571428572,0.18021434989089977,-9.450006417661406,0.3087179005680485,0.10518894811051889,0.42075579244207556,0.25485745142548577,1
缪荃孙,连环请托型,35,5,3.05335429769392,0.14285714285714285,0.08723869421982629,5.561844863731656,2.6664572864321605,0.27008729912700874,0.6752182478175218,0.6831531684683153,1
孙毓修,先叙后请型,14,4,4.80188679245283,0.2857142857142857,0.34299191374663074,-5.727762803234504,0.67843631778058,0.7446425535744643,0.8740228387189812,0.7272827271727282,1
孙毓修,论议收束型,14,3,4.183647798742138,0.21428571428571427,0.2988319856244384,-8.454627133872414,0.5976483164083378,0.5157648423515765,0.8740228387189812,0.7147428525714743,1
孙毓修,先请后叙型,14,6,3.0707547169811322,0.42857142857142855,0.21933962264150944,20.923180592991912,4.399635036496351,0.06327936720632793,0.42075579244207556,0.1965580344196558,1
孙毓修,连环请托型,14,1,1.9437106918238993,0.07142857142857142,0.13883647798742138,-6.740790655884996,0.346329775648007,0.6597334026659734,0.8740228387189812,1,1
夏敬观,先叙后请型,11,3,3.9968553459119494,0.2727272727272727,0.3633504859919954,-9.062321326472267,0.5850785340314136,0.7269627303726963,0.8740228387189812,1,1
夏敬观,论议收束型,11,6,3.138364779874214,0.5454545454545454,0.28530588907947396,26.014865637507146,3.8706624605678233,0.06417935820641793,0.42075579244207556,0.10905890941090589,1
夏敬观,先请后叙型,11,2,2.7154088050314464,0.18181818181818182,0.2468553459119497,-6.5037164093767865,0.6728971962616822,0.7114528854711453,0.8740228387189812,1,1
夏敬观,连环请托型,11,0,1.14937106918239,0,0.1044882790165809,-10.44882790165809,0,0.3483965160348397,0.6967930320696794,0.2206577934220658,1
易培基,先叙后请型,8,2,2.0757575757575757,0.25,0.25946969696969696,-0.9469696969696961,0.9391727493917276,1,1,1,1
易培基,论议收束型,8,1,2.5515151515151517,0.125,0.31893939393939397,-19.393939393939398,0.20865533230293665,0.23228767712322876,0.6636790774949394,0.5394846051539485,1
易培基,先请后叙型,8,1,1.9621212121212122,0.125,0.24526515151515152,-12.026515151515152,0.3566362715298886,0.6508634913650864,0.8740228387189812,1,1
易培基,连环请托型,8,4,1.4106060606060604,0.5,0.17632575757575755,32.36742424242425,6.773648648648648,0.023659763402365978,0.42075579244207556,0.5257647423525764,1
